-------------------Pass: 0------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
1103	6/30/1995	  A	      B
809	12/31/2002	  A	      C
823	12/31/2002	  A	      F
828	12/31/2002	  D	      A
832	12/31/2002	  B	      A
833	12/31/2002	  A	      D
865	12/31/2002	  A	      C
880	12/31/2002	  A	      D
883	12/31/2002	  A	      B
905	12/31/2002	  B	      A
910	12/31/2002	  C	      F
917	12/31/2002	  B	      A
944	12/31/2002	  A	      B
953	12/31/2002	  A	      B
960	12/31/2002	  B	      F
974	12/31/2002	  A	      F
976	12/31/2002	  B	      D
980	12/31/2002	  B	      F
981	12/31/2002	  A	      F
985	12/31/2002	  F	      B
986	12/31/2002	  C	      B
988	12/31/2002	  A	      B
992	12/31/2002	  C	      F
993	12/31/2002	  C	      D
995	12/31/2002	  C	      F
998	12/31/2002	  A	      F
1005	12/31/2002	  A	      D
1006	12/31/2002	  A	      B
1008	12/31/2002	  B	      D
1010	12/31/2002	  B	      C
1044	12/31/2002	  A	      D
1048	12/31/2002	  A	      B
1049	12/31/2002	  C	      B
1050	12/31/2002	  F	      C
1054	12/31/2002	  A	      B
1061	12/31/2002	  A	      B
1067	12/31/2002	  A	      D
-------------------------------------------------
 
-----------False positives in fold no.4----------
 
rm_key | statement_date | predicted | actual 
367	9/30/2007	  A	      C
653	9/30/2007	  A	      B
815	9/30/2007	  A	      B
252	12/31/2007	  A	      D
253	12/31/2007	  A	      B
257	12/31/2007	  A	      B
258	12/31/2007	  A	      D
259	12/31/2007	  A	      B
447	12/31/2007	  A	      D
448	12/31/2007	  A	      F
449	12/31/2007	  A	      F
451	12/31/2007	  A	      C
496	12/31/2007	  A	      D
501	12/31/2007	  A	      B
502	12/31/2007	  A	      D
530	12/31/2007	  A	      C
541	12/31/2007	  C	      A
542	12/31/2007	  C	      A
637	12/31/2007	  A	      B
647	12/31/2007	  A	      F
655	12/31/2007	  A	      F
667	12/31/2007	  A	      B
668	12/31/2007	  A	      D
669	12/31/2007	  A	      D
674	12/31/2007	  A	      D
675	12/31/2007	  B	      A
682	12/31/2007	  A	      B
684	12/31/2007	  A	      B
686	12/31/2007	  D	      B
690	12/31/2007	  A	      D
691	12/31/2007	  A	      B
694	12/31/2007	  A	      C
698	12/31/2007	  A	      B
699	12/31/2007	  A	      D
700	12/31/2007	  A	      F
703	12/31/2007	  A	      C
712	12/31/2007	  A	      D
714	12/31/2007	  A	      B
718	12/31/2007	  B	      A
744	12/31/2007	  B	      A
745	12/31/2007	  A	      F
749	12/31/2007	  A	      C
755	12/31/2007	  C	      D
757	12/31/2007	  A	      C
759	12/31/2007	  C	      F
760	12/31/2007	  A	      B
766	12/31/2007	  A	      D
771	12/31/2007	  B	      C
772	12/31/2007	  A	      B
774	12/31/2007	  A	      F
780	12/31/2007	  A	      F
781	12/31/2007	  A	      B
783	12/31/2007	  B	      A
786	12/31/2007	  A	      F
789	12/31/2007	  A	      B
790	12/31/2007	  A	      B
792	12/31/2007	  A	      B
793	12/31/2007	  A	      C
794	12/31/2007	  A	      F
795	12/31/2007	  A	      B
798	12/31/2007	  A	      B
800	12/31/2007	  A	      B
805	12/31/2007	  A	      F
808	12/31/2007	  A	      D
814	12/31/2007	  B	      F
818	12/31/2007	  A	      D
823	12/31/2007	  A	      D
828	12/31/2007	  A	      F
840	12/31/2007	  A	      D
852	12/31/2007	  A	      B
857	12/31/2007	  A	      B
873	12/31/2007	  A	      D
883	12/31/2007	  A	      D
902	12/31/2007	  A	      B
904	12/31/2007	  A	      B
905	12/31/2007	  B	      A
917	12/31/2007	  A	      B
927	12/31/2007	  A	      B
938	12/31/2007	  A	      B
946	12/31/2007	  A	      D
955	12/31/2007	  C	      F
957	12/31/2007	  A	      F
972	12/31/2007	  A	      F
974	12/31/2007	  A	      B
977	12/31/2007	  A	      B
979	12/31/2007	  A	      B
981	12/31/2007	  A	      F
985	12/31/2007	  B	      F
986	12/31/2007	  B	      C
988	12/31/2007	  A	      F
993	12/31/2007	  A	      C
997	12/31/2007	  A	      C
998	12/31/2007	  A	      F
1002	12/31/2007	  A	      F
1003	12/31/2007	  B	      D
1004	12/31/2007	  A	      B
1005	12/31/2007	  A	      B
1008	12/31/2007	  A	      D
1010	12/31/2007	  A	      C
1011	12/31/2007	  A	      D
1013	12/31/2007	  A	      F
1040	12/31/2007	  A	      C
1042	12/31/2007	  A	      D
1046	12/31/2007	  A	      B
1048	12/31/2007	  A	      C
1049	12/31/2007	  B	      C
1050	12/31/2007	  A	      B
1052	12/31/2007	  A	      C
1054	12/31/2007	  A	      B
1057	12/31/2007	  A	      D
1059	12/31/2007	  A	      D
1061	12/31/2007	  A	      B
1143	12/31/2007	  A	      B
1150	12/31/2007	  A	      D
1163	12/31/2007	  A	      C
1164	12/31/2007	  A	      B
-------------------------------------------------
 
Total false positives :464.0
Total Prediction Accuracy: 73.16367842683633
Total A's: 1218.0, Correctly Predicted A's: 875.0, Accuracy: 71.83908045977012
Total B's: 246.0, Correctly Predicted B's: 187.0, Accuracy: 76.01626016260163
Total C's: 101.0, Correctly Predicted C's: 76.0, Accuracy: 75.24752475247524
Total D's: 71.0, Correctly Predicted D's: 53.0, Accuracy: 74.64788732394366
Total F's: 93.0, Correctly Predicted F's: 74.0, Accuracy: 79.56989247311827



-------------------Pass: 4------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
682	12/15/1999	  A	      B
629	12/31/1999	  A	      F
632	12/31/1999	  A	      B
633	12/31/1999	  A	      B
637	12/31/1999	  A	      C
647	12/31/1999	  B	      A
655	12/31/1999	  D	      A
660	12/31/1999	  A	      B
667	12/31/1999	  F	      B
671	12/31/1999	  A	      B
674	12/31/1999	  F	      A
677	12/31/1999	  A	      B
684	12/31/1999	  D	      B
686	12/31/1999	  A	      D
694	12/31/1999	  A	      D
698	12/31/1999	  C	      A
699	12/31/1999	  A	      C
700	12/31/1999	  C	      A
712	12/31/1999	  A	      B
717	12/31/1999	  C	      F
722	12/31/1999	  F	      D
744	12/31/1999	  A	      B
748	12/31/1999	  A	      B
751	12/31/1999	  A	      B
759	12/31/1999	  A	      D
760	12/31/1999	  A	      B
763	12/31/1999	  B	      A
771	12/31/1999	  A	      B
774	12/31/1999	  A	      B
780	12/31/1999	  A	      D
781	12/31/1999	  B	      D
791	12/31/1999	  A	      B
797	12/31/1999	  A	      F
798	12/31/1999	  A	      B
801	12/31/1999	  A	      D
805	12/31/1999	  A	      D
808	12/31/1999	  A	      D
814	12/31/1999	  A	      B
815	12/31/1999	  A	      D
823	12/31/1999	  A	      F
828	12/31/1999	  D	      A
831	12/31/1999	  A	      D
832	12/31/1999	  B	      D
862	12/31/1999	  A	      B
865	12/31/1999	  C	      A
905	12/31/1999	  A	      B
910	12/31/1999	  F	      C
916	12/31/1999	  A	      F
933	12/31/1999	  A	      B
936	12/31/1999	  A	      D
938	12/31/1999	  A	      B
955	12/31/1999	  A	      B
960	12/31/1999	  F	      B
971	12/31/1999	  A	      D
977	12/31/1999	  A	      D
980	12/31/1999	  A	      B
985	12/31/1999	  A	      B
988	12/31/1999	  A	      B
989	12/31/1999	  A	      F
991	12/31/1999	  A	      B
995	12/31/1999	  F	      C
996	12/31/1999	  A	      D
998	12/31/1999	  F	      C
1003	12/31/1999	  B	      A
1004	12/31/1999	  D	      F
1005	12/31/1999	  A	      D
1008	12/31/1999	  A	      B
1010	12/31/1999	  A	      B
1011	12/31/1999	  A	      C
1038	12/31/1999	  A	      F
1042	12/31/1999	  A	      F
1044	12/31/1999	  D	      A
1048	12/31/1999	  B	      C
1049	12/31/1999	  B	      C
1050	12/31/1999	  C	      F
1054	12/31/1999	  A	      C
1057	12/31/1999	  A	      C
1061	12/31/1999	  A	      F
1062	12/31/1999	  A	      B
1065	12/31/1999	  A	      B
715	6/30/2000	  A	      D
655	12/31/2000	  D	      B
667	12/31/2000	  F	      C
668	12/31/2000	  A	      D
669	12/31/2000	  B	      A
677	12/31/2000	  B	      F
678	12/31/2000	  A	      C
684	12/31/2000	  D	      B
686	12/31/2000	  A	      D
698	12/31/2000	  C	      A
703	12/31/2000	  A	      D
712	12/31/2000	  A	      F
716	12/31/2000	  A	      D
717	12/31/2000	  C	      B
720	12/31/2000	  B	      F
722	12/31/2000	  C	      A
723	12/31/2000	  A	      F
744	12/31/2000	  A	      D
751	12/31/2000	  A	      C
752	12/31/2000	  B	      A
755	12/31/2000	  A	      F
757	12/31/2000	  D	      F
758	12/31/2000	  A	      D
759	12/31/2000	  B	      C
760	12/31/2000	  A	      C
764	12/31/2000	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.1----------
 
rm_key | statement_date | predicted | actual 
766	12/31/2000	  B	      A
771	12/31/2000	  A	      B
774	12/31/2000	  D	      A
781	12/31/2000	  D	      B
786	12/31/2000	  A	      F
791	12/31/2000	  A	      B
792	12/31/2000	  B	      A
793	12/31/2000	  A	      D
796	12/31/2000	  C	      F
798	12/31/2000	  A	      B
805	12/31/2000	  A	      D
814	12/31/2000	  F	      D
823	12/31/2000	  F	      A
828	12/31/2000	  A	      D
832	12/31/2000	  A	      B
840	12/31/2000	  B	      A
842	12/31/2000	  A	      D
862	12/31/2000	  A	      B
865	12/31/2000	  C	      A
873	12/31/2000	  A	      B
910	12/31/2000	  F	      C
916	12/31/2000	  A	      C
918	12/31/2000	  A	      B
922	12/31/2000	  A	      F
933	12/31/2000	  A	      B
954	12/31/2000	  A	      D
955	12/31/2000	  A	      B
960	12/31/2000	  F	      D
971	12/31/2000	  A	      D
980	12/31/2000	  A	      B
986	12/31/2000	  A	      B
988	12/31/2000	  A	      B
989	12/31/2000	  A	      D
991	12/31/2000	  A	      B
998	12/31/2000	  A	      B
1004	12/31/2000	  F	      D
1010	12/31/2000	  A	      B
1038	12/31/2000	  A	      B
1042	12/31/2000	  A	      F
1048	12/31/2000	  B	      F
1049	12/31/2000	  B	      D
1050	12/31/2000	  C	      F
1054	12/31/2000	  A	      B
1061	12/31/2000	  A	      B
1062	12/31/2000	  A	      B
1098	12/31/2000	  A	      B
1099	12/31/2000	  A	      B
1100	12/31/2000	  A	      B
1101	12/31/2000	  A	      B
1102	12/31/2000	  A	      B
1103	12/31/2000	  A	      B
1104	12/31/2000	  A	      B
1105	12/31/2000	  A	      B
1126	12/31/2000	  A	      B
1127	12/31/2000	  A	      B
1129	12/31/2000	  A	      B
1143	12/31/2000	  A	      D
1159	12/31/2000	  A	      B
1162	12/31/2000	  A	      C
1164	12/31/2000	  A	      C
1168	12/31/2000	  A	      B
629	12/31/2001	  A	      F
632	12/31/2001	  A	      B
637	12/31/2001	  B	      A
640	12/31/2001	  A	      D
647	12/31/2001	  B	      F
655	12/31/2001	  B	      D
660	12/31/2001	  A	      B
667	12/31/2001	  B	      F
669	12/31/2001	  A	      B
674	12/31/2001	  A	      D
677	12/31/2001	  B	      F
681	12/31/2001	  A	      B
682	12/31/2001	  A	      C
684	12/31/2001	  B	      F
686	12/31/2001	  C	      A
687	12/31/2001	  A	      D
700	12/31/2001	  A	      B
706	12/31/2001	  B	      A
716	12/31/2001	  A	      B
717	12/31/2001	  B	      C
718	12/31/2001	  A	      D
720	12/31/2001	  A	      B
722	12/31/2001	  A	      C
744	12/31/2001	  A	      B
745	12/31/2001	  B	      A
751	12/31/2001	  B	      F
755	12/31/2001	  A	      D
757	12/31/2001	  D	      A
758	12/31/2001	  B	      A
759	12/31/2001	  C	      D
760	12/31/2001	  A	      B
763	12/31/2001	  A	      B
764	12/31/2001	  A	      B
766	12/31/2001	  B	      F
771	12/31/2001	  A	      B
772	12/31/2001	  A	      B
781	12/31/2001	  A	      C
783	12/31/2001	  A	      B
785	12/31/2001	  A	      B
786	12/31/2001	  A	      B
789	12/31/2001	  B	      A
794	12/31/2001	  B	      F
795	12/31/2001	  A	      B
796	12/31/2001	  C	      F
803	12/31/2001	  A	      F
808	12/31/2001	  A	      F
814	12/31/2001	  F	      B
817	12/31/2001	  A	      D
823	12/31/2001	  F	      A
828	12/31/2001	  A	      D
832	12/31/2001	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.2----------
 
rm_key | statement_date | predicted | actual 
840	12/31/2001	  A	      B
864	12/31/2001	  A	      B
865	12/31/2001	  A	      C
866	12/31/2001	  A	      B
897	12/31/2001	  A	      B
910	12/31/2001	  C	      F
918	12/31/2001	  A	      B
922	12/31/2001	  A	      C
936	12/31/2001	  A	      C
955	12/31/2001	  A	      B
980	12/31/2001	  D	      B
981	12/31/2001	  A	      D
988	12/31/2001	  B	      A
989	12/31/2001	  D	      A
992	12/31/2001	  A	      B
995	12/31/2001	  A	      F
998	12/31/2001	  A	      C
1010	12/31/2001	  B	      A
1044	12/31/2001	  D	      A
1048	12/31/2001	  A	      F
1049	12/31/2001	  A	      B
1050	12/31/2001	  C	      F
1054	12/31/2001	  A	      B
1061	12/31/2001	  A	      B
1062	12/31/2001	  A	      B
1065	12/31/2001	  A	      B
1080	12/31/2001	  A	      D
1164	12/31/2001	  A	      B
1168	12/31/2001	  A	      B
629	12/31/2002	  F	      B
637	12/31/2002	  A	      B
640	12/31/2002	  A	      B
655	12/31/2002	  B	      D
667	12/31/2002	  B	      F
669	12/31/2002	  A	      B
677	12/31/2002	  F	      B
686	12/31/2002	  D	      A
698	12/31/2002	  B	      A
700	12/31/2002	  A	      C
704	12/31/2002	  A	      B
706	12/31/2002	  A	      B
714	12/31/2002	  A	      D
717	12/31/2002	  A	      B
720	12/31/2002	  A	      B
722	12/31/2002	  D	      C
744	12/31/2002	  A	      B
745	12/31/2002	  A	      C
751	12/31/2002	  F	      B
755	12/31/2002	  A	      C
757	12/31/2002	  A	      D
758	12/31/2002	  A	      B
759	12/31/2002	  B	      C
766	12/31/2002	  A	      B
771	12/31/2002	  C	      D
774	12/31/2002	  A	      D
781	12/31/2002	  A	      C
786	12/31/2002	  F	      A
789	12/31/2002	  A	      C
794	12/31/2002	  F	      B
796	12/31/2002	  F	      C
805	12/31/2002	  A	      D
808	12/31/2002	  A	      B
809	12/31/2002	  A	      C
814	12/31/2002	  F	      B
823	12/31/2002	  A	      F
828	12/31/2002	  D	      A
832	12/31/2002	  B	      A
833	12/31/2002	  A	      D
865	12/31/2002	  A	      C
880	12/31/2002	  A	      D
883	12/31/2002	  A	      B
910	12/31/2002	  C	      F
917	12/31/2002	  B	      A
944	12/31/2002	  A	      B
953	12/31/2002	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.3----------
 
rm_key | statement_date | predicted | actual 
960	12/31/2002	  B	      F
974	12/31/2002	  A	      F
976	12/31/2002	  B	      D
980	12/31/2002	  B	      F
981	12/31/2002	  A	      F
988	12/31/2002	  A	      B
992	12/31/2002	  C	      F
993	12/31/2002	  C	      D
995	12/31/2002	  C	      F
998	12/31/2002	  A	      F
1005	12/31/2002	  A	      D
1006	12/31/2002	  A	      B
1008	12/31/2002	  B	      D
1010	12/31/2002	  A	      C
1044	12/31/2002	  A	      D
1048	12/31/2002	  C	      B
1050	12/31/2002	  F	      C
1054	12/31/2002	  A	      B
1061	12/31/2002	  A	      B
1067	12/31/2002	  A	      D
629	12/31/2003	  A	      B
637	12/31/2003	  B	      A
667	12/31/2003	  B	      C
675	12/31/2003	  A	      F
677	12/31/2003	  F	      B
681	12/31/2003	  A	      B
684	12/31/2003	  B	      D
686	12/31/2003	  A	      C
687	12/31/2003	  A	      D
698	12/31/2003	  A	      C
699	12/31/2003	  B	      D
700	12/31/2003	  A	      B
706	12/31/2003	  A	      B
707	12/31/2003	  A	      B
712	12/31/2003	  F	      A
720	12/31/2003	  A	      B
722	12/31/2003	  D	      F
744	12/31/2003	  A	      C
745	12/31/2003	  A	      B
751	12/31/2003	  B	      F
757	12/31/2003	  D	      B
758	12/31/2003	  A	      B
759	12/31/2003	  C	      B
760	12/31/2003	  A	      C
766	12/31/2003	  A	      B
767	12/31/2003	  A	      C
769	12/31/2003	  A	      F
771	12/31/2003	  C	      F
781	12/31/2003	  A	      C
784	12/31/2003	  A	      F
786	12/31/2003	  F	      A
788	12/31/2003	  A	      B
789	12/31/2003	  A	      F
790	12/31/2003	  A	      B
794	12/31/2003	  F	      B
796	12/31/2003	  C	      B
798	12/31/2003	  A	      B
803	12/31/2003	  A	      D
814	12/31/2003	  B	      F
817	12/31/2003	  A	      D
823	12/31/2003	  A	      B
828	12/31/2003	  D	      A
833	12/31/2003	  A	      D
836	12/31/2003	  A	      B
840	12/31/2003	  B	      D
865	12/31/2003	  A	      C
888	12/31/2003	  A	      B
904	12/31/2003	  A	      D
910	12/31/2003	  C	      F
917	12/31/2003	  A	      B
953	12/31/2003	  A	      F
955	12/31/2003	  A	      B
957	12/31/2003	  A	      B
960	12/31/2003	  B	      F
972	12/31/2003	  A	      D
976	12/31/2003	  B	      F
977	12/31/2003	  A	      B
979	12/31/2003	  A	      B
980	12/31/2003	  B	      D
981	12/31/2003	  A	      C
988	12/31/2003	  A	      F
992	12/31/2003	  C	      F
993	12/31/2003	  C	      D
995	12/31/2003	  C	      F
996	12/31/2003	  A	      B
997	12/31/2003	  A	      D
998	12/31/2003	  C	      F
1000	12/31/2003	  A	      F
1004	12/31/2003	  B	      A
1006	12/31/2003	  A	      B
1010	12/31/2003	  A	      F
1044	12/31/2003	  A	      D
1046	12/31/2003	  A	      F
1048	12/31/2003	  A	      B
1049	12/31/2003	  B	      A
1050	12/31/2003	  F	      C
1051	12/31/2003	  A	      B
1054	12/31/2003	  A	      B
1061	12/31/2003	  A	      B
-------------------------------------------------
 
-----------False positives in fold no.4----------
 
rm_key | statement_date | predicted | actual 
1150	12/31/2003	  A	      D
815	9/30/2008	  A	      B
252	12/31/2008	  A	      D
253	12/31/2008	  A	      B
258	12/31/2008	  A	      D
447	12/31/2008	  A	      B
449	12/31/2008	  A	      C
498	12/31/2008	  A	      D
501	12/31/2008	  A	      B
508	12/31/2008	  A	      D
530	12/31/2008	  A	      C
541	12/31/2008	  C	      A
542	12/31/2008	  C	      A
629	12/31/2008	  B	      F
637	12/31/2008	  A	      B
647	12/31/2008	  B	      F
655	12/31/2008	  D	      B
660	12/31/2008	  B	      D
667	12/31/2008	  C	      B
669	12/31/2008	  B	      A
674	12/31/2008	  A	      F
675	12/31/2008	  B	      A
677	12/31/2008	  B	      F
684	12/31/2008	  B	      D
690	12/31/2008	  A	      B
691	12/31/2008	  A	      B
694	12/31/2008	  A	      C
698	12/31/2008	  A	      B
699	12/31/2008	  A	      D
700	12/31/2008	  A	      C
703	12/31/2008	  A	      B
706	12/31/2008	  B	      A
707	12/31/2008	  A	      C
712	12/31/2008	  A	      F
714	12/31/2008	  A	      B
717	12/31/2008	  A	      D
720	12/31/2008	  B	      A
722	12/31/2008	  C	      D
744	12/31/2008	  B	      A
745	12/31/2008	  A	      F
751	12/31/2008	  F	      B
752	12/31/2008	  A	      B
755	12/31/2008	  C	      A
757	12/31/2008	  A	      D
759	12/31/2008	  C	      F
760	12/31/2008	  A	      B
766	12/31/2008	  B	      A
767	12/31/2008	  A	      B
769	12/31/2008	  A	      B
771	12/31/2008	  D	      C
774	12/31/2008	  A	      D
780	12/31/2008	  A	      B
781	12/31/2008	  A	      B
783	12/31/2008	  B	      C
784	12/31/2008	  A	      B
786	12/31/2008	  A	      F
789	12/31/2008	  A	      B
795	12/31/2008	  A	      F
796	12/31/2008	  F	      C
798	12/31/2008	  A	      B
800	12/31/2008	  A	      B
808	12/31/2008	  A	      D
814	12/31/2008	  B	      F
818	12/31/2008	  A	      D
828	12/31/2008	  A	      D
836	12/31/2008	  A	      C
840	12/31/2008	  A	      B
855	12/31/2008	  A	      B
857	12/31/2008	  A	      D
865	12/31/2008	  C	      B
888	12/31/2008	  C	      D
892	12/31/2008	  A	      D
902	12/31/2008	  A	      B
903	12/31/2008	  A	      D
917	12/31/2008	  A	      B
938	12/31/2008	  A	      F
946	12/31/2008	  A	      B
957	12/31/2008	  A	      F
972	12/31/2008	  A	      B
977	12/31/2008	  A	      B
985	12/31/2008	  B	      F
987	12/31/2008	  A	      B
988	12/31/2008	  A	      F
991	12/31/2008	  A	      B
992	12/31/2008	  C	      F
993	12/31/2008	  A	      F
997	12/31/2008	  A	      B
998	12/31/2008	  C	      F
1002	12/31/2008	  A	      B
1003	12/31/2008	  A	      D
1004	12/31/2008	  A	      B
1005	12/31/2008	  A	      B
1008	12/31/2008	  A	      B
1010	12/31/2008	  A	      C
1011	12/31/2008	  A	      B
1013	12/31/2008	  A	      F
1040	12/31/2008	  A	      B
1042	12/31/2008	  A	      B
1047	12/31/2008	  A	      B
1048	12/31/2008	  A	      F
1049	12/31/2008	  A	      B
1050	12/31/2008	  F	      C
1051	12/31/2008	  A	      B
1052	12/31/2008	  A	      B
1054	12/31/2008	  A	      B
1057	12/31/2008	  A	      B
1059	12/31/2008	  A	      C
1061	12/31/2008	  A	      B
1072	12/31/2008	  A	      D
1080	12/31/2008	  A	      B
1150	12/31/2008	  A	      D
1153	12/31/2008	  A	      B
1158	12/31/2008	  A	      B
1163	12/31/2008	  A	      C
1164	12/31/2008	  A	      C
1170	12/31/2008	  A	      D
-------------------------------------------------
 
Total false positives :508.0
Total Prediction Accuracy: 71.0376282782212
Total A's: 1227.0, Correctly Predicted A's: 881.0, Accuracy: 71.80114099429503
Total B's: 257.0, Correctly Predicted B's: 188.0, Accuracy: 73.15175097276264
Total C's: 103.0, Correctly Predicted C's: 63.0, Accuracy: 61.16504854368932
Total D's: 68.0, Correctly Predicted D's: 46.0, Accuracy: 67.6470588235294
Total F's: 99.0, Correctly Predicted F's: 68.0, Accuracy: 68.68686868686869



-------------------Pass: 5------------------
-----------False positives in fold no.0----------
 
rm_key | statement_date | predicted | actual 
715	6/30/2000	  A	      D
629	12/31/2000	  A	      F
633	12/31/2000	  A	      B
668	12/31/2000	  A	      D
669	12/31/2000	  B	      A
677	12/31/2000	  B	      F
678	12/31/2000	  A	      C
686	12/31/2000	  A	      D
698	12/31/2000	  C	      A
703	12/31/2000	  A	      D
712	12/31/2000	  A	      F
716	12/31/2000	  A	      D
717	12/31/2000	  A	      B
720	12/31/2000	  A	      F
723	12/31/2000	  A	      F
744	12/31/2000	  B	      D
751	12/31/2000	  A	      C
755	12/31/2000	  A	      F
757	12/31/2000	  A	      F
758	12/31/2000	  A	      D
759	12/31/2000	  B	      C
760	12/31/2000	  A	      C
764	12/31/2000	  A	      B
766	12/31/2000	  B	      A
771	12/31/2000	  A	      B
781	12/31/2000	  A	      B
783	12/31/2000	  B	      A
786	12/31/2000	  A	      F
790	12/31/2000	  B	      A
791	12/31/2000	  A	      B
792	12/31/2000	  B	      A
793	12/31/2000	  A	      D
794	12/31/2000	  B	      F
796	12/31/2000	  B	      F
798	12/31/2000	  A	      B
805	12/31/2000	  A	      D
808	12/31/2000	  B	      A
814	12/31/2000	  B	      D
817	12/31/2000	  D	      A
828	12/31/2000	  A	      D
842	12/31/2000	  A	      D
862	12/31/2000	  A	      B
865	12/31/2000	  C	      A
873	12/31/2000	  A	      B
910	12/31/2000	  F	      C
916	12/31/2000	  A	      C
918	12/31/2000	  A	      B
922	12/31/2000	  A	      F
933	12/31/2000	  A	      B
954	12/31/2000	  A	      D
955	12/31/2000	  A	      B
960	12/31/2000	  F	      D
971	12/31/2000	  A	      D
976	12/31/2000	  F	      B
980	12/31/2000	  A	      B
981	12/31/2000	  C	      A
986	12/31/2000	  A	      B
988	12/31/2000	  A	      B
989	12/31/2000	  A	      D
991	12/31/2000	  A	      B
998	12/31/2000	  A	      B
1004	12/31/2000	  A	      D
1010	12/31/2000	  A	      B
1038	12/31/2000	  A	      B
1042	12/31/2000	  A	      F
1048	12/31/2000	  B	      F
1049	12/31/2000	  A	      D
1050	12/31/2000	  C	      F
1054	12/31/2000	  A	      B
1061	12/31/2000	  A	      B
1062	12/31/2000	  A	      B
1080	12/31/2000	  D	      A
1098	12/31/2000	  A	      B
1099	12/31/2000	  A	      B
1100	12/31/2000	  A	      B
1101	12/31/2000	  A	      B
1102	12/31/2000	  A	      B
1103	12/31/2000	  A	      B
1104	12/31/2000	  A	      B
1105	12/31/2000	  A	      B
1126	12/31/2000	  A	      B
1127	12/31/2000	  A	      B
1128	12/31/2000	  D	      C
1129	12/31/2000	  A	      B
1143	12/31/2000	  A	      D
1159	12/31/2000	  A	      B
1162	12/31/2000	  A	      C
1164	12/31/2000	  A	      C
1168	12/31/2000	  A	      B
629	12/31/2001	  A	      F
632	12/31/2001	  A	      B
633	12/31/2001	  A	      B
640	12/31/2001	  A	      D
647	12/31/2001	  B	      F
655	12/31/2001	  B	      D
660	12/31/2001	  A	      B
667	12/31/2001	  C	      F
674	12/31/2001	  A	      D
677	12/31/2001	  B	      F
681	12/31/2001	  A	      B
682	12/31/2001	  A	      C
684	12/31/2001	  B	      F
686	12/31/2001	  C	      A
687	12/31/2001	  A	      D
700	12/31/2001	  A	      B
706	12/31/2001	  B	      A
716	12/31/2001	  A	      B
717	12/31/2001	  A	      C
718	12/31/2001	  A	      D
720	12/31/2001	  A	      B
722	12/31/2001	  A	      C
744	12/31/2001	  A	      B
745	12/31/2001	  B	      A
751	12/31/2001	  B	      F
755	12/31/2001	  A	      D
-------------------------------------------------
 
-----------False positives in fold no.1----------
 
rm_key | statement_date | predicted | actual 
758	12/31/2001	  B	      A
759	12/31/2001	  B	      D
760	12/31/2001	  A	      B
763	12/31/2001	  A	      B
764	12/31/2001	  A	      B
766	12/31/2001	  A	      F
769	12/31/2001	  F	      A
771	12/31/2001	  A	      B
772	12/31/2001	  A	      B
781	12/31/2001	  A	      C
783	12/31/2001	  A	      B
785	12/31/2001	  A	      B
786	12/31/2001	  F	      B
789	12/31/2001	  B	      A
790	12/31/2001	  A	      B
792	12/31/2001	  A	      B
795	12/31/2001	  A	      B
796	12/31/2001	  B	      F
798	12/31/2001	  A	      B
803	12/31/2001	  A	      F
808	12/31/2001	  A	      F
817	12/31/2001	  A	      D
828	12/31/2001	  A	      D
840	12/31/2001	  A	      B
864	12/31/2001	  A	      B
866	12/31/2001	  A	      B
897	12/31/2001	  A	      B
918	12/31/2001	  A	      B
922	12/31/2001	  A	      C
936	12/31/2001	  A	      C
955	12/31/2001	  A	      B
976	12/31/2001	  F	      B
980	12/31/2001	  D	      B
981	12/31/2001	  C	      D
988	12/31/2001	  B	      A
989	12/31/2001	  D	      A
992	12/31/2001	  A	      B
995	12/31/2001	  A	      F
998	12/31/2001	  A	      C
1010	12/31/2001	  B	      A
1044	12/31/2001	  D	      A
1048	12/31/2001	  A	      F
1049	12/31/2001	  A	      B
1050	12/31/2001	  C	      F
1054	12/31/2001	  A	      B
1061	12/31/2001	  A	      B
1062	12/31/2001	  A	      B
1065	12/31/2001	  A	      B
1080	12/31/2001	  A	      D
1164	12/31/2001	  A	      B
1168	12/31/2001	  A	      B
495	12/31/2002	  D	      C
629	12/31/2002	  F	      B
637	12/31/2002	  A	      B
640	12/31/2002	  A	      B
655	12/31/2002	  B	      D
667	12/31/2002	  C	      F
669	12/31/2002	  A	      B
677	12/31/2002	  F	      B
681	12/31/2002	  B	      A
686	12/31/2002	  B	      A
700	12/31/2002	  B	      C
704	12/31/2002	  A	      B
706	12/31/2002	  A	      B
714	12/31/2002	  A	      D
717	12/31/2002	  A	      B
720	12/31/2002	  A	      B
722	12/31/2002	  A	      C
744	12/31/2002	  C	      B
745	12/31/2002	  A	      C
751	12/31/2002	  F	      B
755	12/31/2002	  A	      C
757	12/31/2002	  A	      D
758	12/31/2002	  A	      B
759	12/31/2002	  B	      C
766	12/31/2002	  A	      B
769	12/31/2002	  F	      A
771	12/31/2002	  F	      D
774	12/31/2002	  A	      D
781	12/31/2002	  A	      C
786	12/31/2002	  F	      A
789	12/31/2002	  B	      C
790	12/31/2002	  B	      A
